Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945529993, 83, 83, 24, 32.76, 23.08, 187
1491945530044, 46, 76, 23, 24.46, 21.91, 178
1491945530128, 83, 76, 22, 29.72, 20.78, 182
1491945530205, 75, 72, 21, 25.03, 21.76, 178
1491945530273, 67, 69, 26, 25.64, 30.18, 187
1491945530311, 37, 68, 28, 26.33, 30.22, 188
1491945530398, 86, 69, 33, 28.85, 38.23, 199
1491945530468, 70, 71, 34, 30.57, 35.00, 197
1491945530528, 58, 82, 30, 43.46, 26.89, 202
1491945530582, 46, 84, 29, 35.59, 28.42, 196
1491945530682, 99, 89, 24, 41.50, 18.71, 192
1491945530722, 39, 87, 22, 33.36, 21.53, 186
1491945530809, 85, 74, 24, 16.61, 25.55, 174
1491945530868, 58, 73, 24, 28.78, 25.17, 185
1491945530947, 78, 71, 25, 25.68, 26.51, 184
1491945531013, 56, 67, 28, 23.77, 30.70, 186
1491945531081, 68, 70, 27, 31.30, 26.19, 189
1491945531139, 54, 80, 24, 41.76, 21.52, 195
1491945531204, 64, 86, 22, 40.36, 20.52, 192
1491945531250, 43, 85, 22, 33.84, 22.81, 188
1491945531354, 102, 76, 22, 20.91, 22.58, 175
1491945531406, 52, 71, 21, 24.18, 20.51, 176
1491945531482, 74, 72, 20, 30.23, 19.59, 181
1491945531547, 65, 75, 20, 32.23, 19.85, 184
1491945531591, 43, 74, 15, 29.92, 11.66, 173
1491945531695, 104, 77, 12, 33.39, 8.46, 173
1491945531781, 84, 77, 11, 30.58, 10.27, 172
1491945531824, 41, 73, 9, 26.16, 7.14, 165
1491945531905, 80, 66, 2, 19.81, -5.18, 146
1491945531981, 75, 63, 0, 22.03, -0.23, 153
1491945532025, 43, 53, 0, 11.65, -1.13, 142
1491945532132, 107, 45, -1, 9.62, -3.22, 138
1491945532200, 65, 37, -2, 7.78, -2.53, 137
1491945532296, 94, 32, -2, 7.70, -2.84, 136
1491945532329, 32, 22, -2, -0.67, -2.40, 128
1491945532421, 91, 15, -2, -0.84, -2.45, 128
1491945532488, 66, 11, -2, 1.01, -2.44, 130
1491945532561, 71, 9, -2, 1.72, -2.09, 131
1491945532632, 70, 6, -1, -0.17, -1.68, 130
1491945532693, 61, 6, -1, 1.94, -1.54, 132
1491945532746, 52, 6, -1, 2.90, -1.42, 133
1491945532832, 75, 7, -1, 3.30, -1.69, 133
1491945532902, 69, 8, -1, 4.83, -1.81, 135
1491945532987, 76, 7, -2, 2.11, -2.52, 131
1491945533030, 42, 7, -2, 2.35, -2.09, 132
1491945533135, 98, 1, -1, -5.37, -1.71, 124
1491945533204, 66, -3, -1, -5.99, -0.11, 125
1491945533267, 63, -6, 0, -5.41, -0.25, 126
1491945533333, 65, -8, 0, -5.22, 0.23, 127
1491945533432, 97, -8, 0, -3.19, 0.01, 128
1491945533505, 72, -2, 0, 4.90, -0.55, 136
1491945533555, 50, 2, 0, 5.67, -0.75, 136
1491945533642, 86, 8, 0, 9.67, -1.03, 140
1491945533726, 82, 8, 0, 3.71, -0.93, 134
1491945533776, 50, 5, 0, -0.68, -0.30, 131
1491945533860, 82, -4, 0, -11.90, 0.51, 120
1491945533925, 64, -7, 0, -6.50, 0.32, 125
1491945533963, 31, -11, 0, -7.92, 0.77, 124
1491945534060, 86, -9, 0, -1.66, 0.49, 130
1491945534104, 42, -6, 0, 0.29, 0.46, 132
1491945534188, 83, 1, 0, 8.61, -0.71, 139
1491945534231, 42, 4, 0, 4.16, -0.15, 136
1491945534318, 85, 5, 0, 3.62, -0.87, 134
1491945534360, 41, 4, 0, 0.11, 0.13, 132
1491945534469, 107, -2, 0, -6.91, -0.32, 124
1491945534535, 66, -6, 0, -6.83, -0.03, 125
1491945534616, 81, -11, 0, -10.21, 0.16, 121
1491945534652, 35, -13, 0, -6.81, 0.60, 125
1491945534751, 98, -11, 0, -2.75, 0.27, 129
1491945534811, 55, -8, 0, -0.75, 0.35, 131
1491945534899, 88, -5, 0, 0.76, 0.51, 133
1491945534950, 50, 0, 0, 4.40, 1.27, 137
1491945535035, 73, 2, 0, 4.68, -0.33, 136
1491945535107, 71, 2, 0, 1.31, 1.09, 134
1491945535172, 63, 1, 0, -1.39, -0.08, 130
1491945535241, 68, 0, 0, -1.97, 0.26, 130
1491945535311, 69, -5, 0, -6.37, 0.42, 126
1491945535381, 69, -7, 0, -4.90, 0.37, 127
1491945535432, 46, -12, 0, -9.73, 1.08, 123
1491945535525, 93, -13, 0, -6.37, 0.67, 126
1491945535575, 49, -12, 0, -4.37, 1.17, 128
1491945535621, 41, -9, 0, -0.70, 0.49, 131
1491945535750, 127, -2, 0, 5.55, 0.56, 138
1491945535844, 93, 4, 0, 9.50, -0.77, 140
1491945535926, 81, 6, 0, 3.80, 0.26, 136
1491945535996, 68, 3, 0, -0.60, 0.14, 131
1491945536051, 54, -3, 0, -8.41, 0.82, 124
1491945536104, 52, -3, 0, -1.27, 0.47, 131
1491945536161, 56, -13, 0, -15.18, 0.51, 117
1491945536199, 36, -15, 0, -9.22, 0.24, 123
1491945536274, 75, -15, 0, -5.06, 0.90, 127
1491945536332, 53, -13, 0, -4.20, 0.66, 128
1491945536380, 48, -9, 0, 0.22, 0.41, 132
1491945536446, 65, -7, 0, -0.21, 0.40, 132
1491945536514, 55, -5, 0, -0.76, 1.00, 132
1491945536572, 55, -2, 0, 1.47, 0.30, 133
1491945536652, 79, -2, 0, -0.71, 0.31, 131
1491945536686, 25, -2, 0, -1.23, 0.37, 131
1491945536770, 83, -3, 0, -2.12, 1.10, 130
1491945536813, 41, -3, 0, -1.44, 0.23, 130
1491945536879, 65, -1, 0, 0.73, -0.38, 132
1491945536947, 66, -2, 0, -0.88, 0.47, 131
1491945536988, 41, -3, 0, -3.41, 1.23, 129
1491945537073, 84, -3, 2, -0.71, 4.17, 135
1491945537144, 69, -3, 3, -2.19, 4.61, 134
1491945537223, 78, -3, 7, -0.89, 11.21, 142
1491945537276, 52, -1, 13, 1.12, 20.41, 153
1491945537346, 69, 0, 15, 0.43, 16.54, 148
1491945537433, 85, 13, 17, 19.19, 18.99, 170
1491945537511, 77, 35, 19, 36.73, 21.32, 190
1491945537571, 59, 53, 18, 39.70, 17.84, 189
1491945537643, 71, 59, 18, 29.66, 18.15, 179
1491945537700, 56, 64, 19, 30.34, 19.81, 182
1491945537759, 58, 53, 22, 10.54, 25.82, 168
1491945537817, 57, 51, 21, 19.19, 21.31, 172
1491945537863, 45, 50, 21, 19.49, 21.05, 172
