Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491939334687, 936, -11, 2, -16.66, 4.03, 119
1491939334896, 208, -11, 2, -11.11, 2.02, 122
1491939334976, 79, -11, 2, -11.13, 2.18, 123
1491939335046, 69, -10, 1, -10.51, 1.44, 122
1491939335121, 74, -8, 1, -6.67, 2.23, 127
1491939335174, 51, -7, 2, -7.86, 2.30, 126
1491939335253, 77, -6, 2, -6.03, 1.95, 127
1491939335321, 59, -5, 2, -5.13, 2.31, 129
1491939335423, 101, -4, 2, -3.20, 2.05, 130
1491939335491, 67, -3, 1, -2.87, 1.00, 130
1491939335558, 67, -1, 1, -0.13, 1.56, 133
1491939335610, 51, 0, 1, -0.34, 1.69, 133
1491939335686, 74, 0, 1, 0.94, 2.02, 134
1491939335738, 49, 2, 0, 2.85, -0.19, 134
1491939335820, 81, 3, 0, 4.97, -0.17, 136
1491939335870, 50, 4, 0, 4.26, 0.78, 137
1491939335953, 81, 6, 0, 7.14, -2.00, 137
1491939336003, 50, 6, 0, 5.93, -0.22, 137
1491939336087, 83, 5, 0, 5.38, 1.23, 138
1491939336138, 50, 5, 0, 6.10, -0.07, 138
1491939336216, 77, 5, 0, 6.00, -0.43, 137
1491939336267, 49, 5, 0, 5.86, 0.76, 138
1491939336346, 79, 5, 0, 5.13, 0.76, 137
1491939336442, 95, 5, 0, 6.04, -0.53, 137
1491939336494, 51, 5, 0, 5.43, 0.45, 137
1491939336569, 74, 5, 0, 5.49, -0.04, 137
1491939336615, 46, 5, 0, 5.19, -0.09, 137
1491939336691, 75, 5, 0, 4.86, 0.20, 137
1491939336743, 51, 5, 0, 5.23, -1.05, 136
1491939336825, 82, 4, 0, 4.55, -1.39, 135
1491939336876, 50, 4, 0, 4.78, -0.95, 135
1491939336959, 82, 3, 0, 3.52, -0.78, 134
1491939337009, 50, 3, 0, 3.08, -0.14, 134
1491939337096, 86, 2, 0, 1.46, -0.98, 132
1491939337145, 48, 1, 0, 1.65, -0.55, 133
1491939337249, 103, 0, 0, 0.24, -0.30, 131
1491939337294, 45, 0, 0, -0.56, -0.96, 130
1491939337381, 86, -1, 0, -1.82, -0.24, 129
1491939337461, 80, -1, 0, -1.91, 0.23, 130
1491939337526, 54, -1, 0, -1.18, -0.50, 130
1491939337634, 108, 0, 0, 0.25, -0.18, 132
1491939337691, 55, 0, 0, 1.30, 0.89, 134
1491939337795, 103, 2, 0, 4.08, -0.97, 135
1491939337876, 78, 3, 0, 4.46, -0.78, 135
1491939337925, 49, 4, 0, 5.17, -1.39, 135
1491939338013, 87, 5, 0, 5.43, -0.49, 136
1491939338104, 91, 5, 0, 6.16, -0.40, 137
1491939338170, 64, 6, -1, 6.73, -2.71, 136
1491939338247, 76, 5, -1, 4.94, -0.65, 136
1491939338295, 47, 3, 0, 3.08, -0.02, 135
1491939338346, 51, 3, 0, 3.40, -1.29, 134
1491939338415, 68, 0, -1, -0.38, -1.72, 129
1491939338483, 67, 0, -1, -0.42, -0.89, 130
1491939338546, 62, -3, 0, -4.95, 0.62, 127
1491939338632, 86, -4, 0, -4.62, -0.82, 126
1491939338704, 70, -4, 0, -4.25, -0.43, 127
1491939338780, 75, -2, -1, -1.33, -2.30, 128
1491939338872, 91, 0, 0, 2.39, -0.24, 134
1491939338920, 46, 4, -1, 6.43, -1.68, 136
1491939339008, 87, 10, -1, 13.56, -2.34, 143
1491939339096, 86, 11, 0, 11.45, 0.06, 143
1491939339175, 78, 10, 0, 10.58, -0.69, 141
1491939339227, 50, 8, 0, 6.68, 0.48, 139
1491939339310, 83, 1, 0, -1.40, -0.21, 130
1491939339372, 62, 0, 0, -1.36, -1.10, 129
1491939339446, 72, -5, 0, -8.16, -0.67, 123
