Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940376612, 65, -23, 26, -47.45, 26.34, 110
1491940376661, 47, -23, 26, -47.45, 26.34, 110
1491940376753, 91, -23, 26, -47.45, 26.34, 110
1491940376842, 84, -23, 26, -47.45, 26.34, 110
1491940376925, 81, -23, 26, -47.45, 26.34, 110
1491940376981, 56, -23, 26, -47.45, 26.34, 110
1491940377052, 68, -23, 26, -47.45, 26.34, 110
1491940377124, 71, -23, 26, -47.45, 26.34, 110
1491940377204, 78, -23, 26, -47.45, 26.34, 110
1491940377250, 44, -23, 26, -47.45, 26.34, 110
1491940377334, 82, -23, 26, -47.45, 26.34, 110
1491940377381, 46, -23, 26, -47.45, 26.34, 110
1491940377462, 77, -23, 26, -47.45, 26.34, 110
1491940377532, 69, -23, 26, -47.45, 26.34, 110
1491940377592, 60, -23, 26, -47.45, 26.34, 110
1491940377665, 71, -23, 26, -47.45, 26.34, 110
1491940377784, 108, -23, 26, -47.45, 26.34, 110
1491940377840, 56, -23, 26, -47.45, 26.34, 110
1491940377904, 59, -23, 26, -47.45, 26.34, 110
1491940377956, 52, -23, 26, -47.45, 26.34, 110
1491940378030, 73, -23, 26, -47.45, 26.34, 110
1491940378115, 85, -23, 26, -47.45, 26.34, 110
1491940378175, 58, -23, 26, -47.45, 26.34, 110
1491940378236, 60, -23, 26, -47.45, 26.34, 110
1491940378334, 97, -23, 26, -47.45, 26.34, 110
1491940378398, 63, -23, 26, -47.45, 26.34, 110
1491940378479, 81, -23, 26, -47.45, 26.34, 110
1491940378537, 56, -23, 26, -47.45, 26.34, 110
1491940378638, 89, 6, -32, 44.55, -90.90, 85
1491940378707, 68, 6, -32, 13.88, -32.28, 113
1491940378775, 66, 6, -32, 13.88, -32.28, 113
1491940378857, 82, 6, -32, 13.88, -32.28, 113
1491940378930, 71, 6, -32, 13.88, -32.28, 113
1491940378992, 61, 6, -32, 13.88, -32.28, 113
1491940379081, 88, 6, -32, 13.88, -32.28, 113
1491940379155, 72, 6, -32, 13.88, -32.28, 113
1491940379230, 73, 36, -60, 101.29, -89.68, 143
1491940379299, 68, -15, -49, -82.56, -38.41, 11
1491940379365, 65, -29, -28, -72.80, -8.12, 51
1491940379459, 85, -43, -5, -102.19, 17.85, 47
