Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945925017, 80, 74, 27, 32.89, 27.93, 192
1491945925064, 46, 73, 29, 27.65, 32.17, 191
1491945925150, 86, 69, 30, 24.06, 31.42, 187
1491945925233, 75, 62, 31, 17.83, 32.21, 182
1491945925284, 49, 59, 31, 20.58, 31.81, 184
1491945925344, 49, 57, 30, 21.99, 28.46, 182
1491945925441, 95, 60, 28, 26.62, 26.56, 185
1491945925480, 38, 71, 25, 39.00, 23.43, 194
1491945925575, 95, 74, 24, 33.12, 23.50, 188
1491945925667, 90, 76, 24, 33.39, 25.30, 190
1491945925743, 74, 79, 22, 33.70, 19.58, 185
1491945925806, 62, 76, 21, 28.33, 21.31, 181
1491945925878, 69, 71, 24, 23.33, 27.60, 182
1491945925927, 45, 63, 27, 17.96, 29.32, 179
1491945925979, 51, 60, 27, 20.92, 28.28, 181
1491945926043, 62, 56, 33, 18.73, 38.72, 189
1491945926121, 77, 56, 34, 21.78, 35.33, 189
1491945926170, 47, 58, 34, 26.48, 34.23, 192
1491945926272, 102, 71, 31, 41.02, 29.50, 202
1491945926339, 66, 74, 30, 32.80, 28.13, 192
1491945926384, 43, 78, 27, 36.07, 24.62, 192
1491945926483, 91, 77, 24, 29.98, 21.82, 183
1491945926567, 83, 75, 24, 28.02, 24.62, 184
1491945926648, 80, 72, 24, 26.44, 25.00, 183
1491945926693, 44, 66, 28, 20.76, 31.35, 184
1491945926790, 95, 62, 28, 21.07, 29.62, 182
1491945926850, 59, 61, 29, 23.15, 29.73, 184
1491945926883, 32, 60, 29, 23.63, 28.84, 184
1491945926953, 70, 67, 25, 33.74, 21.94, 187
1491945927014, 60, 71, 23, 31.96, 22.31, 186
1491945927071, 55, 72, 23, 30.65, 22.64, 185
1491945927115, 42, 72, 22, 29.48, 22.58, 184
1491945927188, 73, 69, 23, 24.87, 23.94, 180
1491945927242, 53, 68, 23, 25.38, 24.13, 181
1491945927333, 90, 70, 23, 30.15, 23.00, 185
1491945927383, 49, 73, 22, 32.08, 22.45, 186
1491945927444, 53, 74, 22, 30.86, 21.70, 184
1491945927526, 81, 75, 21, 31.48, 21.64, 185
1491945927603, 76, 75, 16, 29.54, 10.88, 172
1491945927650, 44, 77, 9, 34.02, 3.44, 169
1491945927715, 48, 75, 8, 27.45, 7.85, 167
1491945927791, 75, 68, 6, 20.56, 4.58, 157
1491945927842, 51, 68, 4, 26.95, 1.49, 160
1491945927904, 61, 63, 2, 20.84, 1.08, 153
1491945927960, 55, 57, 1, 16.97, 0.40, 149
1491945928016, 55, 56, 0, 22.19, -0.04, 154
1491945928081, 65, 48, 0, 11.62, -2.16, 141
1491945928149, 67, 42, -1, 10.14, -1.83, 140
1491945928216, 67, 39, -1, 13.31, -1.58, 143
1491945928268, 51, 33, -1, 6.93, -2.45, 136
1491945928355, 84, 23, -1, -0.36, -1.89, 129
1491945928409, 53, 21, -1, 6.54, -1.97, 136
1491945928461, 51, 15, -2, 0.47, -2.11, 130
1491945928525, 64, 12, -2, 2.44, -1.99, 132
1491945928587, 61, 9, -1, 0.88, -1.77, 131
1491945928652, 56, 7, -1, 0.30, -1.42, 130
1491945928699, 46, 5, -1, 0.01, -1.73, 130
1491945928768, 68, 0, -1, -4.44, -0.63, 126
1491945928838, 69, -3, 0, -4.96, -0.56, 126
1491945928884, 44, -8, 0, -8.99, 0.34, 123
1491945928949, 64, -7, 0, -2.42, -0.64, 128
1491945929013, 56, -9, 0, -4.74, -0.28, 126
1491945929078, 65, -8, 0, -2.31, -0.80, 128
1491945929144, 65, -6, 0, -0.56, -0.98, 130
1491945929212, 67, -4, -1, 0.28, -1.28, 130
1491945929278, 65, -3, 0, -0.41, -0.72, 130
1491945929318, 38, 0, 0, 1.98, -0.48, 133
1491945929409, 91, -1, 0, -1.49, 0.09, 130
1491945929462, 52, -1, 0, 0.18, -0.13, 132
1491945929525, 52, -2, 0, -1.74, 0.28, 130
1491945929605, 79, -2, 0, -0.81, 0.04, 131
