Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491939287554, 886, -19, 0, -210.31, 1.12, 0
1491939287774, 219, -23, 0, -66.37, 0.28, 65
1491939287852, 77, -21, 0, -6.90, -1.18, 123
1491939287908, 54, -19, 0, 0.55, 0.55, 133
1491939287940, 32, -19, 0, -13.75, -0.08, 118
1491939288021, 81, -19, 0, -20.25, 0.56, 112
1491939288092, 69, -18, 0, -14.48, -0.54, 116
1491939288155, 62, -18, 0, -14.07, 1.56, 119
1491939288223, 66, -18, 0, -18.51, 0.72, 114
1491939288289, 65, -18, 0, -19.92, 0.34, 112
1491939288373, 82, -18, 0, -16.83, -0.28, 114
1491939288443, 70, -17, 0, -12.46, 0.62, 120
1491939288491, 43, -16, 0, -7.46, 0.02, 124
1491939288567, 74, -15, 0, -5.11, 0.95, 127
1491939288617, 49, -14, 0, 4.73, -0.41, 136
1491939288694, 76, -12, 0, 0.34, 0.81, 133
1491939288777, 81, -11, 0, 1.94, -0.02, 133
1491939288821, 43, -11, 0, -12.73, 1.15, 120
1491939288916, 93, -13, 1, -33.89, 2.60, 100
1491939288978, 60, -12, 1, -5.35, 0.37, 127
1491939289052, 73, -10, 1, 13.27, 2.78, 148
1491939289118, 65, -4, 0, 51.14, -0.01, 183
1491939289197, 76, -1, 1, 36.87, 1.18, 170
1491939289235, 36, -1, 0, -0.86, 0.63, 131
1491939289332, 95, -14, 2, -149.01, 4.31, 0
1491939289379, 42, -19, 2, -70.84, 1.44, 62
1491939289485, 105, -21, 1, -39.34, 1.98, 94
1491939289588, 101, 14, 0, 373.25, -2.33, 255
1491939289650, 58, 23, 0, 113.48, -0.17, 245
1491939289690, 38, 30, -1, 103.18, -2.40, 232
1491939289750, 59, 37, -1, 100.11, -1.58, 230
1491939289822, 68, 34, 0, 10.47, 1.12, 143
1491939289923, 100, 25, 0, -64.34, 0.30, 67
1491939290009, 84, -48, 3, -789.20, 6.26, 0
1491939290084, 74, -57, 2, -153.02, 2.10, 0
1491939290159, 73, -41, 1, 124.07, 0.87, 255
1491939290204, 40, -30, 1, 83.50, 0.71, 216
1491939290274, 69, -5, 0, 234.74, -1.04, 255
1491939290318, 42, 7, 0, 137.59, -1.30, 255
1491939290393, 74, 65, 0, 652.29, -1.27, 255
1491939290454, 60, 46, 0, -150.40, -0.42, 0
1491939290525, 70, 34, 0, -85.61, 0.20, 46
1491939290596, 71, 22, 0, -95.26, 1.44, 38
1491939290666, 60, -78, 3, -1089.49, 6.04, 0
1491939290703, 32, -73, 2, -16.69, 2.01, 117
1491939290806, 101, -49, 2, 188.58, 1.81, 255
1491939290868, 51, -40, 1, 46.46, 1.61, 180
1491939290945, 76, 20, 0, 630.57, -2.67, 255
1491939291018, 72, 29, 0, 122.61, 0.78, 255
1491939291092, 73, -18, 1, -501.28, 2.38, 0
1491939291189, 95, -38, 2, -242.93, 3.82, 0
1491939291238, 49, -76, -2, -448.92, -8.34, 0
1491939291326, 87, -88, 3, -214.75, 9.13, 0
1491939291388, 53, -65, 3, 170.13, 3.99, 255
1491939291478, 88, -53, 3, 67.13, 3.85, 202
1491939291585, 105, -15, 2, 361.47, 2.12, 255
1491939291644, 57, 5, 5, 211.72, 8.08, 255
1491939291676, 32, -5, 5, -111.37, 4.65, 25
1491939291749, 71, -33, 5, -318.69, 6.73, 0
1491939291825, 71, -46, 6, -176.76, 6.58, 0
1491939291899, 73, -58, 5, -176.62, 5.36, 0
1491939291983, 75, -36, 5, 181.84, 4.56, 255
1491939292030, 45, -13, 4, 214.82, 4.33, 255
1491939292108, 77, 11, 4, 265.27, 3.34, 255
1491939292153, 43, 25, 3, 161.96, 3.34, 255
1491939292228, 74, 23, 3, 5.85, 4.17, 142
