Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491939248584, 33, -35, 1, -82.31, 2.76, 52
1491939248690, 105, -97, 4, -403.12, 7.79, 0
1491939248740, 49, -91, 4, -63.93, 3.38, 71
1491939248855, 114, -71, 4, 25.74, 4.54, 162
1491939248938, 81, -52, 4, 47.50, 4.00, 183
1491939248989, 50, 14, 0, 350.25, -4.40, 255
1491939249066, 76, 25, 0, 78.46, 1.61, 212
1491939249117, 51, 21, 0, 2.13, 0.36, 134
1491939249199, 81, -2, 1, -123.65, 3.39, 11
1491939249263, 63, -10, 1, -48.04, 0.51, 84
1491939249340, 76, -47, 2, -235.66, 3.48, 0
1491939249392, 50, -45, 2, -35.46, 2.19, 98
1491939249465, 72, 0, 0, 229.24, -0.38, 255
1491939249528, 62, 4, 0, 26.26, -0.38, 157
1491939249595, 66, 24, -1, 122.14, -2.51, 251
1491939249634, 38, 62, 0, 252.16, 1.08, 255
1491939249698, 64, 46, 0, -29.45, -0.78, 101
1491939249750, 43, 17, 0, -129.90, -1.41, 0
1491939249848, 97, -2, 0, -104.20, -0.31, 27
1491939249912, 55, -32, 0, -182.24, 2.59, 0
1491939249976, 62, -15, 0, 68.45, -2.20, 198
1491939250029, 51, 6, 0, 115.88, 0.58, 248
1491939250090, 51, 27, -1, 132.50, -2.02, 255
1491939250157, 67, 101, -3, 472.52, -6.58, 255
1491939250222, 64, 104, -4, 117.73, -5.87, 243
1491939250289, 65, 93, -5, 38.13, -6.96, 163
1491939250366, 76, 60, -4, -104.59, -2.19, 25
1491939250404, 38, 27, -4, -134.61, -4.88, 0
1491939250500, 95, -2, -4, -151.04, -4.69, 0
1491939250546, 39, -3, -3, -9.39, -2.36, 120
1491939250627, 80, 18, -5, 129.69, -7.34, 254
1491939250710, 75, 29, -5, 84.72, -6.38, 210
1491939250793, 82, 99, -9, 449.25, -13.40, 255
1491939250882, 88, 86, -9, 20.31, -10.03, 142
1491939250958, 75, 62, -11, -59.62, -13.40, 58
1491939251030, 72, 12, -8, -237.86, -5.72, 0
1491939251073, 42, -11, -7, -130.38, -6.94, 0
1491939251194, 121, 10, -7, 119.74, -7.15, 244
1491939251261, 62, 25, -3, 100.57, -0.45, 232
1491939251359, 79, 53, -3, 195.23, -2.04, 255
1491939251450, 90, 53, -3, 53.65, -3.00, 182
1491939251547, 92, 53, -3, 53.65, -3.00, 182
1491939251628, 79, 105, -2, 363.67, -1.05, 255
1491939251681, 53, 102, -3, 87.77, -5.46, 214
1491939251783, 101, 103, -5, 111.51, -6.58, 236
1491939251867, 81, 92, 0, 33.23, 3.23, 168
1491939251986, 117, 79, -1, 15.35, -2.55, 144
1491939252084, 96, 17, 3, -290.66, 8.65, 0
1491939252188, 104, 1, 3, -80.97, 3.56, 54
1491939252271, 82, 13, 2, 72.92, 2.32, 207
1491939252366, 92, 13, 2, 13.18, 2.91, 148
1491939252371, 5, 13, 2, 13.18, 2.91, 148
